type,location,bed,address,total_sqft,bath,price
House for sale,Richmond County,3,3811 Hylan Blvd,1108,2,558000
Multi-family home for sale,Kings County,4,304 3rd Ave,2184.207862,2,1695000
House for sale,Queens County,5,138-48 229th St,2184.207862,2.373860858,725000
Co-op for sale,Queens,3,33-39 80th St Unit 1,2184.207862,2,940000
Condo for sale,Brooklyn,2,1495 E 28th St Apt 3A,821,2,539000
Co-op for sale,The Bronx,1,1185 Anderson Ave Apt 1C,859,1,99000
Pending,New York,2,343 E 74th St Apt 20B,1111,2,895000
Co-op for sale,New York,3,23 E 79th St Unit G,1300,2,995000
Condo for sale,Brooklyn,3,145 Huntington St Unit 147-1,2400,2,2550000
Co-op for sale,Kings County,2,2483 W 16th St Apt 14D,1000,1,345000
House for sale,Richmond County,4,120 8th St,2240,2,879000
Co-op for sale,New York,2,250 W 75th St Apt 4C,2184.207862,1,945000
House for sale,Queens County,3,222-11 100th Rd,3096,2,939999
Co-op for sale,Queens County,3,98-20 62nd Dr Unit 6J,1200,2,500000
Co-op for sale,New York,1,44 W 96th St Apt 5A,2184.207862,1,475000
House for sale,Queens County,3,21-26 81st St,2184.207862,4,1288000
Multi-family home for sale,Kings County,36,5206 6th Ave,12460,16,3099000
Townhouse for sale,Queens County,3,110-39 62nd Dr,1500,2,1238000
Co-op for sale,New York,2,17 W 64th St Apt 7A,2184.207862,2,1450000
Co-op for sale,Brooklyn,2,1065 Shore Pkwy Unit 2B,800,1,370000
Condo for sale,New York County,1,26 W 127th St Unit Garden,574,1,595000
Condo for sale,Kings County,3,105 15th St Unit Ph,2350,3,2799000
Co-op for sale,Brooklyn,1,7401 Shore Rd Apt 2L,520,1,289000
Co-op for sale,New York,1,317 E 3rd St Apt 4,2184.207862,1,595000
Pending,Queens County,3,42-39 248th St,1080,1,669000
House for sale,Queens County,3,21-26 81st St,2184.207862,4,1288000
Townhouse for sale,New York County,5,137 W 77th St,6815,2.373860858,13995000
Co-op for sale,New York County,4,345 E 56th St Ph C,2184.207862,4,2095000
Co-op for sale,Queens County,3,35-31 85th St Unit 8J,1050,1,585000
House for sale,Richmond County,3,38 Jones St,1538,2,699000
Condo for sale,Brooklyn,1,2925 W 5th St Apt 12H,850,1,340000
Condo for sale,New York,5,1045 Madison Ave Apt 11,4193,5,15500000
Co-op for sale,Brooklyn,1,1717 E 18th St Apt 5G,550,1,199999
Pending,New York County,5,217 W 122nd St,4230,4,2495000
Co-op for sale,Brooklyn,2,175 Adams St Apt 3G,1043,2,799000
House for sale,Richmond County,4,20 Greencroft Ln,2088,3,888888
House for sale,Kings County,3,1914 E 26th St,1536,2,1690000
Condo for sale,New York,2,212 W 18th St Apt 19C,2270,2,8950000
House for sale,Richmond County,3,61 Cypress Ave,3600,4,1449000
Condo for sale,New York,2,1641 Third Ave Apt 3H,1160,2,1295000
Co-op for sale,New York,1,568 Grand St Apt J102,800,1,599000
House for sale,Richmond County,3,268 Cromwell Ave,960,2,628000
Condo for sale,Staten Island,2,31 Hylan Blvd Apt 2B,1312,2,593000
House for sale,Queens County,2,99-27 Francis Lewis Blvd,2184.207862,2,634900
Condo for sale,Richmond County,2,491 Midland Ave,960,2,499900
Condo for sale,New York,3,150 E 37th St Apt 4B,509,1,540000
House for sale,Queens County,3,180-11 Tudor Rd,2184.207862,2,1950000
Co-op for sale,Queens,2,64-00 Saunders St Unit 6E,2184.207862,1,379000
Co-op for sale,Queens,1,92-30 56th Ave Unit 3G,800,1,299000
Multi-family home for sale,Bronx County,6,3019 Kingsbridge Ter,2230,3,850000
Pending,Kings County,9,429 Pennsylvania Ave,2184.207862,3,199999
Multi-family home for sale,Kings County,4,1139 E 86th St,1892,3,899000
Multi-family home for sale,Kings County,10,247 Senator St,4500,6,1299000
House for sale,Bronx County,3,448 Turneur Ave,2184.207862,3,699000
Condo for sale,Queens,2,140-31 Cherry Ave Unit 9A,750,2,579000
House for sale,Richmond County,3,94 Walker St,1008,2,585000
Co-op for sale,Queens,2,34-41 85th St Unit 3O,2184.207862,1,579000
Multi-family home for sale,Kings County,3,921 E 84th St,2184.207862,3,499000
Contingent,Staten Island,3,145 Lincoln Ave Apt 3J,1137,2,350000
House for sale,Richmond County,3,89 Nixon Ave,2072,2,1250000
Multi-family home for sale,Queens County,4,104-40 Alstyne Ave,2184.207862,3,899000
Townhouse for sale,Kings County,5,185 Weirfield St,3150,2.373860858,1979000
House for sale,Richmond County,3,459 Raritan Ave,780,2,599000
House for sale,Richmond County,4,122 Hamilton Ave,2188,2,779000
Townhouse for sale,New York County,6,29 E 63rd St,2184.207862,6,25000000
Contingent,Staten Island,3,145 Lincoln Ave Apt 3J,1137,2,350000
Multi-family home for sale,Queens County,4,104-40 Alstyne Ave,2184.207862,3,899000
Co-op for sale,New York,2,24 W 83rd St Apt 5R,2184.207862,2,1195000
Condo for sale,New York,2,298 E 2nd St Apt 4,1838,3,1995000
Co-op for sale,Brooklyn,1,215 Adams St Apt 10B,769,1,564900
Multi-family home for sale,Kings County,6,85 Arlington Ave,2184.207862,4,1250000
Condo for sale,New York,4,70 W 45th St Ph 2,2184.207862,4,15000000
Multi-family home for sale,Queens County,4,31-53 45 St,2283,3,1399000
House for sale,Richmond County,4,1841 Richmond Rd,3160,2,1250000
Co-op for sale,Queens County,1,33-15 81st St Unit 6B,2184.207862,1,335000
Multi-family home for sale,Bronx County,4,884 E 161st St,2000,2,685000
Co-op for sale,Brooklyn,2,3235 Emmons Ave Apt 120,666,1,279999
Co-op for sale,Queens,2,94-11 69 Ave Unit 307,2184.207862,1,418000
Multi-family home for sale,Queens County,10,41-59 70th St,2184.207862,7,1780000
Condo for sale,New York,2,105 Bennett Ave Unit 54B,741,1,520000
House for sale,Richmond County,3,9 Lovell Ave Unit A,1248,2,599900
Multi-family home for sale,Bronx County,6,933 Fteley Ave,2680,5,885000
Co-op for sale,Brooklyn,1,601 Brightwater Ct Apt 5L,650,1,258000
Condo for sale,Queens,2,168-03 Powells Cove Blvd Unit 14,1124,2,700000
Multi-family home for sale,New York County,6,17 E 76th St,2184.207862,6,25750000
House for sale,Queens County,4,78-27 268th St,2184.207862,3,999000
Contingent,Richmond County,3,23 Bancroft Ave,2744,1,898000
Condo for sale,New York,1,232 E 118th St Apt 5B,720,1,500000
House for sale,Kings County,3,696 Autumn Ave,1926,2,695000
Co-op for sale,Queens County,3,6115 97th St Apt Le,2184.207862,1,215000
House for sale,Queens County,3,71-31 66th Rd,2184.207862,1,759000
Co-op for sale,Staten Island,1,10 Bay Street Lndg Apt 1I,1185,1,375000
Multi-family home for sale,Brooklyn,24,3520 Newkirk Ave Unit 24,18936,24,2700000
Pending,Kings County,3,76 Powers St,1902,2,2100000
Co-op for sale,Queens County,1,37-30 73rd St Unit 5D,730,1,389888
Co-op for sale,Brooklyn,1,2815 Ocean Pkwy Apt 3F,900,1,285000
Co-op for sale,New York,4,801 W End Ave Apt 2A,2184.207862,2,2795000
Condo for sale,Staten Island,3,90 Bay Street Lndg Apt 6K,1299,1,674999
Townhouse for sale,New York County,4,129 E 70th St,5608,4,12995000
House for sale,Kings County,3,2044 E 67th St,1260,2,759000
Condo for sale,Brooklyn,2,575 4th Ave Apt 2A,1030,2,995000
Co-op for sale,Brooklyn,1,3025 Ocean Ave Apt 6H,2184.207862,1,229000
Co-op for sale,The Bronx,1,3017 Riverdale Ave Apt 3C,800,1,239000
Co-op for sale,New York,2,5 E 131st St Apt 3A,2184.207862,1,315000
House for sale,Queens County,5,85-11 164th Ave,2192,3,1100000
Co-op for sale,Queens,1,21-68 35th St Unit 5D,2184.207862,1,225000
House for sale,Richmond County,3,212 Hunter Ave,1484,2,868000
Multi-family home for sale,Queens County,5,31-32 100th St,2184.207862,3,1380000
House for sale,Richmond County,4,7372 Amboy Rd,1800,2,1100000
Co-op for sale,New York,1,407 Park Ave S Apt 11D,2184.207862,1,865000
Pending,Brooklyn,3,47 Bridge St Apt 3C,1230,2,1895000
House for sale,Richmond County,3,93 Gower St,1800,2,749000
Multi-family home for sale,Bronx County,5,2951 Harding Ave,1600,2,775000
Co-op for sale,New York County,2,320 E 57th St # E,1650,2,2395000
Multi-family home for sale,Kings County,8,123 Bay 10th St,4000,6,2300000
Condo for sale,New York,1,138 Edgecombe Avenue Gdn Unit 1A,900,2,700000
Multi-family home for sale,Bronx County,5,2951 Harding Ave,1600,2,775000
House for sale,Richmond County,3,93 Gower St,1800,2,749000
Condo for sale,Brooklyn,3,4907 4th Ave Apt 3C,494,1,450000
Co-op for sale,New York,1,407 Park Ave S Apt 11D,2184.207862,1,865000
Co-op for sale,New York,3,431 E 82nd St Apt 1A,2184.207862,1,280000
House for sale,Richmond County,4,7372 Amboy Rd,1800,2,1100000
Pending,Brooklyn,3,47 Bridge St Apt 3C,1230,2,1895000
Condo for sale,New York,3,219 E 44th St Unit 31,2446,4,3890000
Pending,Brooklyn,2,345 Bedford Ave Apt D2,2184.207862,1,560000
Co-op for sale,Queens,1,65-15 Alderton St Unit 1A,2184.207862,1,198000
House for sale,Richmond County,3,8 Piedmont Ave,1092,2,1099000
Co-op for sale,New York,1,321 W 90th St Apt 8D,800,1,779000
Multi-family home for sale,Kings County,5,6820 17th Ave,1850,2,1880000
House for sale,Bronx County,3,3054 Lawton Ave,1100,1,509000
Condo for sale,Brooklyn,1,2068 Ocean Ave Apt 2B,845,1,499000
Co-op for sale,Queens,3,67-12 Yellowstone Blvd Unit G16,2184.207862,1,204888
Multi-family home for sale,Bronx County,8,713 E 239th St,3300,3,1499000
House for sale,Kings County,8,3043 Brighton 14 St,3050,3,1295000
Co-op for sale,New York,3,515 Broadway Apt 2B,6000,2.373860858,7500000
Condo for sale,Queens County,1,70-13 Park Dr Unit A,519,1,395000
Multi-family home for sale,Richmond County,4,446 Clifton Ave,1490,2,760000
House for sale,Queens County,4,158-34 75th Ave,1552,3,988000
Condo for sale,Queens County,2,69-88 136th St Unit B,753,1,528000
Multi-family home for sale,Kings County,5,587 Van Siclen Ave,2184.207862,4,949000
Condo for sale,Staten Island,2,1286 Rockland Ave Unit 2HH,840,1,420000
Pending,Queens County,6,150-39 59th Ave,2184.207862,4,1380000
Condo for sale,New York,3,203 W 81st St Apt 2A,1494,2,1750000
Co-op for sale,Queens,1,142-20 26 Ave Unit 5G,850,1,268000
House for sale,Queens County,3,11019 Saultell Ave,2184.207862,2,849000
Multi-family home for sale,Queens County,3,31-36 48th St,2184.207862,2,1095000
Condo for sale,New York,3,426 W 58th St Ph 3,2615,2,4295000
Multi-family home for sale,Queens County,3,126-15 103rd Ave,2184.207862,2,720000
Multi-family home for sale,Bronx County,3,1838 Victor St,3500,2.373860858,1900000
House for sale,Queens County,3,120-15 145th St,1056,2,729999
Co-op for sale,New York,3,207 W 98th St Apt 1AA,2184.207862,1,425000
House for sale,Kings County,3,1645 71st St,1080,3,848000
Co-op for sale,Brooklyn,3,345 Webster Ave Apt 3M,430,1,213000
Multi-family home for sale,Kings County,3,1051 Herkimer St,1725,2,795000
Pending,Queens County,3,7 Van Nostrand Ct,2184.207862,1,749000
Condo for sale,Kings County,2,659 Baltic St Unit Ph,2184.207862,1,1350000
Co-op for sale,Queens,2,27010 Grand Central Pkwy Apt 25K,1500,2,649000
Co-op for sale,Queens,2,13-56 Bell Blvd Unit 2,900,1,439000
Multi-family home for sale,Queens County,5,42-11 Astoria Blvd N,2184.207862,5,1699000
Condo for sale,Queens County,2,3 Court Sq W Ph 202,986,2,2375000
Co-op for sale,Queens,1,97-37 63rd Rd Unit 11F,2184.207862,1,349999
House for sale,Queens County,2,117-23 142nd St,2184.207862,1,425000
House for sale,Kings County,3,132 Oxford St,2272,4,1650000
Pending,Queens,4,34-47 80th St Unit 31,2184.207862,2,1225000
House for sale,Kings County,3,10557 Avenue K,2184.207862,2.373860858,699000
Co-op for sale,Brooklyn,1,40 Remsen St Apt 4,984,1,1150000
House for sale,Kings County,5,208 Mayfair Dr N,2184.207862,5,2399000
Multi-family home for sale,Bronx County,8,855 E 223rd St,3252,5,989000
Co-op for sale,Queens,1,99-25 60th Ave Unit 6G,875,1,318888
Co-op for sale,Queens,2,27010 Grand Central Pkwy Apt 24K,1549,2,799000
Co-op for sale,Brooklyn,2,9201 Shore Rd Apt D509,950,1,489000
Co-op for sale,Brooklyn,2,181 73rd St Apt 457,900,1,398000
House for sale,Kings County,3,186 Mackenzie St,1088,2,1190000
Townhouse for sale,Kings County,5,1065 Hegeman Ave,2184.207862,2,795000
Multi-family home for sale,Kings County,3,4701 Beverley Rd,2184.207862,4,750000
Condo for sale,Queens,3,148-09 Northern Blvd Unit 5G,1750,3,899999
Townhouse for sale,Kings County,5,1065 Hegeman Ave,2184.207862,2,795000
Multi-family home for sale,Kings County,3,4701 Beverley Rd,2184.207862,4,750000
Condo for sale,Queens,3,148-09 Northern Blvd Unit 5G,1750,3,899999
Condo for sale,Brooklyn,3,9511 Shore Rd Apt 503,1597,2,1325000
Townhouse for sale,Brooklyn,1,943 Saint Marks Ave Apt 1A,846,2,595000
Multi-family home for sale,Richmond County,42,646-662 Port Richmond Ave,27152,43,10700000
Condo for sale,Staten Island,1,215 Hart Blvd Apt 2B,726,1,330000
Condo for sale,Queens County,3,46-30 Center Blvd Ph 4,1763,3,2998000
Co-op for sale,Brooklyn,2,86 Beaver St Apt 2J,2184.207862,1,425000
Co-op for sale,The Bronx,2,2711 Henry Hudson Pkwy Apt 5G,1000,1,345000
Condo for sale,Queens,2,133-38 Sanford Ave Unit 16D,1187,2,999000
House for sale,Queens County,3,125-15 Defoe St,2184.207862,2.373860858,450000
Co-op for sale,The Bronx,2,950 Hoe Ave Apt 4C,750,1,135000
Condo for sale,The Bronx,2,1017 Faile St Unit 1017B,857,1,261250
Condo for sale,Queens,3,41-38 66th St Unit 5B,1450,2,728000
Pending,The Bronx,3,1259 Grant Ave Apt 5H,1100,2,199000
Multi-family home for sale,New York County,3,2117 5th Ave,3735,2.373860858,3200000
Condo for sale,New York,3,300 E 85th St Unit 1103/1104,1300,3,1950000
Co-op for sale,New York,2,736 W 186th St Apt 7G,900,2,600000
Multi-family home for sale,New York County,3,2117 5th Ave,3735,2.373860858,3200000
Condo for sale,Brooklyn,1,390 Kings Hwy Apt 5D,739,1,569000
Co-op for sale,New York,1,57 Thompson St Apt 2B,2184.207862,1,749000
House for sale,Kings County,4,232 Beaumont St,3850,2.373860858,2488000
Multi-family home for sale,Kings County,5,1520 63rd St,1026,3,1138000
Multi-family home for sale,Kings County,11,1353 Putnam Ave,2240,6,1359000
Multi-family home for sale,New York County,8,29 Essex St,5500,8,3720000
Multi-family home for sale,Kings County,7,759 Glenmore Ave,2184.207862,2,974998
Co-op for sale,Brooklyn,3,599 E 7th St Apt 4G,600,1,300000
House for sale,Queens County,3,110-36 199th St,2184.207862,3,729000
Co-op for sale,New York,2,575 Park Ave # 1508,2184.207862,2,750000
House for sale,Richmond County,3,45 Bogota St,1120,2,599000
Townhouse for sale,New York County,6,27 E 73rd St,5336,5,11950000
Co-op for sale,New York,1,180 E End Ave Apt 18H,1100,2,825000
House for sale,Kings County,3,742 Lexington Ave,2184.207862,2.373860858,800000
Co-op for sale,Brooklyn,3,36 Dahill Rd Apt 1L,2184.207862,1,289000
Condo for sale,New York,4,116 W 14th St Fl 4,4100,4,4750000
Co-op for sale,New York,2,224 E 11th St Apt 22,2184.207862,1,899999
Townhouse for sale,Queens County,2,58-36 79th St,1152,2,868000
Condo for sale,New York,3,450 W 17th St Apt 1709,1637,3,3995000
House for sale,Kings County,3,243 Bay 13 St,1240,2,1500000
House for sale,Kings County,4,1797 Troy Ave,2184.207862,2,625000
Pending,New York,1,88 Charles St Apt 3D,2184.207862,1,749000
House for sale,Bronx County,3,503 E 182nd St,1705,2.373860858,520000
Multi-family home for sale,Kings County,5,159 Montauk Ave,1400,2,749900
Multi-family home for sale,Bronx County,6,669 E 237th St,2310,4,799000
Co-op for sale,Queens,3,27110 Grand Central Pkwy Apt 11V,1993,4,959000
Multi-family home for sale,Kings County,5,228 E 89th St,2980,3,888000
House for sale,Richmond County,2,51 Bedford Ave,988,2,725000
Condop for sale,Manhattan,2,215 E 96th St Unit 25C,2184.207862,2,1065000
Townhouse for sale,New York County,7,14 E 81st St,8200,6,19995000
Condo for sale,Queens,2,32-86 33rd St Unit D7,890,1,744000
Pending,New York,3,41 Warren St Unit Subc,2780,0,675000
Condo for sale,New York,4,619 E 6th St Unit 1,3052,4,4595000
Co-op for sale,Brooklyn,1,213 Eastern Pkwy Apt 2,2184.207862,1,475000
Co-op for sale,The Bronx,2,756 Brady Ave Apt 307,800,1,189000
House for sale,Queens County,4,115-04 144th St,2184.207862,3,998888
Pending,New York,3,41 Warren St Unit Subc,2780,0,675000
Pending,Kings County,1,129 Russell St Unit Commercial,5400,2.373860858,4500000
Co-op for sale,New York County,4,383 W Broadway,7500,6,32000000
Multi-family home for sale,Kings County,6,68 Clifton Pl,3059,4,3250000
Multi-family home for sale,Richmond County,7,222 Gordon St,2100,2,769000
House for sale,Bronx County,3,1361 Waring Ave,1296,2,648998
House for sale,Kings County,7,186 Covert St,2418,5,1699900
Pending,Kings County,8,1123 Albemarle Rd,2184.207862,5,3250000
Co-op for sale,Queens,1,31-85 Crescent St Unit 410,650,1,395250
House for sale,Richmond County,3,84 Nautilus St,972,2,539000
Townhouse for sale,Queens County,5,46-03 104 St,2184.207862,2,1348000
Condo for sale,Queens,3,40-26 College Point Blvd Unit 18F,1855,3,1450000
Co-op for sale,Queens County,2,37-50 87th St Unit 6B,2184.207862,1,465000
Condo for sale,New York,2,1600 Broadway Ph 4C,1639,2,6500000
Co-op for sale,Queens,1,102-36 64 Ave Unit 4A,800,1,297000
Co-op for sale,Queens,1,260-46 73rd Ave Unit A1,518,1,244900
House for sale,Queens County,4,149-37 9th Ave,5150,4,2480000
Co-op for sale,Queens,1,108-50 62 Dr Unit 3K,2184.207862,1,230000
Condo for sale,Kings County,2,618 Avenue H # 5E,825,2,780000
Townhouse for sale,New York County,3,130 E 38th St,2184.207862,3,4875000
Co-op for sale,Queens,3,33-04 93rd St Unit 6S,2184.207862,2,539999
Co-op for sale,The Bronx,2,2621 Palisade Ave Apt 16A,1193,2,750000
Condo for sale,New York,2,211 Madison Ave Unit 22A,2321,3,2249000
Co-op for sale,Queens,2,21-78 35 St Unit 5F,700,1,270000
Pending,New York,2,301 E 63rd St Apt 4B,2184.207862,1,399000
Co-op for sale,New York,2,56 Jane St Unit 4EF,2184.207862,2,1950000
Co-op for sale,Queens,2,83-85 Woodhaven Blvd Unit 2S,2184.207862,1,240000
Condo for sale,Queens,3,82-25 Queens Blvd Unit 3D,900,2,628000
Co-op for sale,Queens,2,34-10 94th St Unit 2D,2184.207862,1,399000
House for sale,Bronx County,2,57 Shore Dr,2184.207862,1,687000
Townhouse for sale,Richmond County,2,19 Teri Ct,2000,2,588000
Multi-family home for sale,Bronx County,5,1221 Manor Ave,2184.207862,3,825000
Co-op for sale,Queens,2,83-85 Woodhaven Blvd Unit 2S,2184.207862,1,240000
Condo for sale,The Bronx,2,1527 Metropolitan Ave Apt 4G,835,1,285000
Condo for sale,Brooklyn,3,609 Myrtle Ave Unit CF1,915,1,595000
Condo for sale,Staten Island,2,90 Bay Street Lndg Apt 5I,1697,2,899000
Townhouse for sale,New York County,5,234 W 138th St,4900,2,2995000
House for sale,Queens County,4,73-27 193rd St,2184.207862,3,1180000
Contingent,Richmond County,4,71 Dewey Ave,1816,4,799900
Co-op for sale,The Bronx,1,5 Fordham Hill Oval Apt 11H,2184.207862,1,130000
House for sale,Queens County,3,147-20 76th Rd,2184.207862,2,849999
Co-op for sale,Bronx County,1,3123 Bailey Ave Unit A,850,1,185000
House for sale,Queens County,4,87-66 257th St,2184.207862,2.373860858,1275000
Multi-family home for sale,Kings County,5,1603 11th Ave,3400,3,2798000
Co-op for sale,Queens,2,141-09 28 Ave Unit 1D,950,1,359000
Pending,Brooklyn,1,155 Hicks St Unit 5A,2184.207862,1,435000
House for sale,Queens County,3,43-64 Bowne St,1296,1,988000
Co-op for sale,New York,1,324 E 41st St Unit 1101C,2184.207862,1,800000
Co-op for sale,Queens,2,34-49 81st St Unit 5Y,2184.207862,1,400000
Multi-family home for sale,Bronx County,5,1027 Ward Ave,3520,3,965000
Multi-family home for sale,Kings County,5,3824 Quentin Rd,2412,2,1389000
Condo for sale,The Bronx,3,170 Mermaid Ln Unit 270,1185,2,525000
House for sale,Queens County,3,147-20 76th Rd,2184.207862,2,849999
Pending,Queens,1,27110 Grand Central Pkwy Apt 1O,1213,2,289000
